date_processed,rspm,spm,pm2_5
2003-05-16,267.0,420.0,
2003-05-17,97.66666666666667,50.5,
2003-05-19,108.83333333333333,388.3333333333333,
2003-05-20,89.5,163.0,
2003-05-21,108.5,282.5,
2003-05-22,51.0,524.6,
2003-05-23,139.16666666666666,231.53333333333336,
2003-05-24,0.0,361.25,
2003-05-26,87.0,499.4166666666667,
2003-05-27,112.83333333333333,355.6666666666667,
2003-05-28,150.0,617.0416666666666,
2003-05-29,73.0,564.3333333333334,
2003-05-30,138.83333333333334,210.9,
2003-05-31,53.0,0.0,
2003-06-01,137.8,210.64285714285714,
2003-06-02,65.1,179.3,
2003-06-03,48.9,123.3,
2003-06-05,26.0,303.875,
2003-06-06,165.375,151.125,
2003-06-08,104.0,116.33333333333333,
2003-06-09,93.33333333333333,42.0,
2003-06-10,153.0,153.33333333333334,
2003-06-11,215.66666666666666,288.75,
2003-06-12,146.25,330.25,
2003-06-13,166.125,188.0,
2003-06-14,0.0,0.0,
2003-06-16,125.375,220.625,
2003-06-17,67.4,385.2142857142857,
2003-06-18,122.5,147.5,
2003-06-19,82.6,161.75,
2003-06-20,88.875,85.2,
2003-06-21,128.0,147.33333333333334,
2003-06-22,,199.0,
2003-06-23,70.9,104.75,
2003-06-24,73.0,155.57142857142858,
2003-06-25,100.83333333333333,135.75,
2003-06-26,87.0,308.03333333333336,
2003-06-27,89.75,191.25,
2003-06-28,35.0,279.0,
2003-06-30,41.5,0.0,
2003-07-01,63.0,189.9,
2003-07-02,119.5,285.0,
2003-07-03,83.0,201.5,
2003-07-04,126.75,222.73809523809524,
2003-07-05,121.125,305.375,
2003-07-06,114.33333333333333,598.3333333333334,
2003-07-07,60.833333333333336,123.71428571428571,
2003-07-08,47.666666666666664,136.2,
2003-07-09,,164.0,
2003-07-10,66.33333333333333,245.93333333333334,
2003-07-11,225.25,262.3333333333333,
2003-07-12,,613.0,
2003-07-14,82.0,136.8125,
2003-07-15,29.666666666666668,82.0,
2003-07-16,76.625,83.125,
2003-07-17,44.25,126.41666666666667,
2003-07-18,63.3,84.75,
2003-07-19,0.0,0.0,
2003-07-21,62.875,112.92857142857143,
2003-07-22,19.625,74.9,
2003-07-23,95.0,105.125,
2003-07-24,31.833333333333332,108.0,
2003-07-25,129.75,183.0,
2003-07-26,0.0,0.0,
2003-07-28,109.66666666666667,145.8,
2003-07-29,26.125,94.7,
2003-07-30,77.6,139.16666666666666,
2003-07-31,0.0,0.0,
2003-08-01,144.5,248.4722222222222,
2003-08-02,25.333333333333332,0.0,
2003-08-03,0.0,0.0,
2003-08-04,58.5,249.05555555555557,
2003-08-05,58.5,330.7,
2003-08-06,,653.0,
2003-08-07,12.666666666666666,67.875,
2003-08-08,102.4,106.58333333333333,
2003-08-09,70.1,85.9,
2003-08-10,191.0,242.25,
2003-08-11,324.0,,
2003-08-12,232.25,284.0,
2003-08-13,105.8,184.0,
2003-08-14,15.666666666666666,82.0,
2003-08-15,48.5,97.0,
2003-08-16,0.0,57.0,
2003-08-17,,212.0,
2003-08-18,24.666666666666668,155.33333333333334,
2003-08-19,43.7,124.36666666666667,
2003-08-20,,254.0,
2003-08-21,86.0,222.5,
2003-08-22,72.5,89.8,
2003-08-23,106.5,81.0,
2003-08-24,,97.0,
2003-08-25,122.625,111.5,
2003-08-26,67.91666666666667,79.6,
2003-08-27,113.16666666666667,92.16666666666667,
2003-08-28,137.2,129.5,
2003-08-29,76.25,30.333333333333332,
2003-08-30,119.5,0.0,
2003-09-01,79.875,137.5,
2003-09-04,174.66666666666666,299.5,
2003-09-05,125.0,95.5,
2003-09-06,182.08333333333334,160.8,
2003-09-07,152.83333333333334,128.58333333333334,
2003-09-08,0.0,0.0,
2003-09-09,90.0,146.36666666666665,
2003-09-10,140.0,331.375,
2003-09-12,172.625,331.8,
2003-09-13,100.0,0.0,
2003-09-15,83.66666666666667,124.83333333333333,
2003-09-16,115.75,114.58333333333333,
2003-09-17,68.5,113.2,
2003-09-18,104.125,100.8,
2003-09-19,124.0,105.375,
2003-09-20,143.66666666666666,0.0,
2003-09-22,93.83333333333333,88.33333333333333,
2003-09-23,57.833333333333336,136.16666666666666,
2003-09-24,100.5,82.8,
2003-09-25,45.5,106.0,
2003-09-26,20.833333333333332,68.875,
2003-09-27,0.0,0.0,
2003-09-29,118.0,185.83333333333334,
2003-09-30,0.0,0.0,
2003-10-01,83.875,193.0,
2003-10-02,80.75,153.0,
2003-10-03,69.9,196.64285714285714,
2003-10-04,100.5,181.5,
2003-10-05,73.66666666666667,196.66666666666666,
2003-10-06,142.0,523.75,
2003-10-07,12.666666666666666,55.75,
2003-10-09,169.5,146.5,
2003-10-10,119.16666666666667,302.5,
2003-10-11,237.0,399.5,
2003-10-12,160.83333333333334,414.0833333333333,
2003-10-13,238.75,273.3333333333333,
2003-10-14,129.0,391.9583333333333,
2003-10-15,135.125,350.8,
2003-10-16,124.0,342.5,
2003-10-17,140.0,198.375,
2003-10-20,163.625,330.42857142857144,
2003-10-21,97.0,463.8888888888889,
2003-10-22,213.5,345.7,
2003-10-23,256.0,606.0,
2003-10-24,60.0,100.0,
2003-10-25,53.0,88.5,
2003-10-27,219.5,373.6666666666667,
2003-10-28,220.0,385.0416666666667,
2003-10-29,235.0,422.95833333333337,
2003-10-30,189.66666666666666,316.5,
2003-10-31,261.0,,
2003-11-01,44.333333333333336,0.0,
2003-11-02,75.66666666666667,226.4,
2003-11-03,82.4,198.5,
2003-11-04,,132.0,
2003-11-05,,687.1666666666666,
2003-11-06,276.6666666666667,263.25,
2003-11-07,188.0,195.0,
2003-11-08,52.5,64.75,
2003-11-09,101.2,99.16666666666667,
2003-11-10,,563.0,
2003-11-11,219.33333333333334,425.125,
2003-11-12,254.5,315.0,
2003-11-13,252.0,355.25,
2003-11-14,166.25,290.1,
2003-11-15,,563.0,
2003-11-16,,382.0,
2003-11-17,138.5,308.25,
2003-11-18,178.25,330.46666666666664,
2003-11-19,150.33333333333334,364.2916666666667,
2003-11-20,197.0,296.6666666666667,
2003-11-21,201.75,215.5,
2003-11-22,252.0,,
2003-11-24,125.0,272.375,
2003-11-25,196.75,526.3333333333334,
2003-11-26,105.5,444.5,
2003-11-27,187.5,229.5,
2003-11-28,222.0,343.0,
2003-11-29,256.0,539.0,
2003-12-02,,377.0,
2003-12-03,106.0,274.0,
2003-12-04,74.5,0.0,
2003-12-05,134.2,216.75,
2003-12-06,74.9,442.85714285714283,
2003-12-07,0.0,49.666666666666664,
2003-12-08,109.5,196.5,
2003-12-09,108.375,153.6,
2003-12-10,,526.0,
2003-12-11,205.5,449.7666666666667,
2003-12-12,167.125,237.2,
2003-12-13,185.0,,
2003-12-15,121.66666666666667,234.7,
2003-12-16,252.33333333333334,238.27777777777774,
2003-12-17,148.5,353.16666666666663,
2003-12-18,152.0,193.6,
2003-12-19,212.25,339.75,
2003-12-20,369.0,,
2003-12-22,152.5,282.75,
2003-12-23,269.5,436.0555555555555,
2003-12-24,211.0,329.0,
2003-12-25,309.0,,
2003-12-26,230.0,215.5,
2003-12-27,304.0,505.0,
2003-12-28,,489.0,
2003-12-29,235.66666666666666,312.6666666666667,
2003-12-30,198.5,341.3333333333333,
2003-12-31,296.0,,
2004-01-01,180.1732,206.85785714285717,
2004-01-02,76.0,183.0,
2004-01-03,137.5332,217.055,
2004-01-04,163.81016666666667,247.4,
2004-01-05,148.835625,309.27944444444444,
2004-01-06,141.77777777777777,216.9093103448276,
2004-01-07,118.57425925925926,188.26000000000002,
2004-01-08,44.0,86.0,
2004-01-09,93.94,145.1904761904762,
2004-01-10,119.1148,138.3576923076923,
2004-01-11,137.0796,188.84983333333332,
2004-01-12,130.78846153846155,200.76785714285714,
2004-01-13,200.58333333333334,258.3488461538461,
2004-01-14,149.13714285714286,224.4232258064516,
2004-01-15,182.1092857142857,267.5514583333333,
2004-01-16,173.28307692307692,211.04724137931035,
2004-01-17,147.28954545454545,260.85714285714283,
2004-01-18,200.5,428.0,
